Nitrogen,Phosphorus,Potassium,Soil Temperature,Moisture,pH,Humidity,Air Temperature,Crop
26,108,100,23.44,80,5.32,56.07,24.49,Potato
26,106,99,23.19,78,5.38,55.2,26.67,Potato
19,91,84,26.5,90,6.39,48.7,28.23,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,59,51,22.37,77,6.28,44.7,22.11,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,66,58,27.06,86,6.41,47.7,25.69,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,86,78,25.25,34,6.19,39.6,24.74,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,64,56,24.56,85,6.6,40.9,23.83,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,65,57,26.81,68,6.6,44.1,30.09,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
11,48,40,23.69,31,6.55,43.2,21.51,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,41,33,26.44,45,6.27,37.3,21.64,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,77,69,28.75,78,6.64,40.4,21.48,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
19,91,83,25.31,39,6.51,38.4,23.29,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,63,55,25.5,83,6.08,35.9,29.81,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
5,59,55,23.75,60,6.26,47.2,26.84,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,47,39,22.37,65,6.35,52.1,32.9,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,58,50,22.19,34,6.77,46.5,32.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
16,85,77,31.5,30,6.41,44.3,21.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
7,63,55,23.06,60,6.97,45.5,23,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
13,77,69,24.37,52,6,46.3,33,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
8,66,58,21.81,51,6.63,45.1,33.4,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,60,53,21.19,56,6.44,45,33.3,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
20,92,84,24.25,51,6.28,42.42,36.2,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
40,80,73,22.62,67,5.29,42.2,23.32,Potato
14,79,71,22.37,73,6.18,44.2,21.64,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
17,86,79,22.37,66,6.46,44.2,23.63,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
2,51,44,20.62,80,7.2,41,23.93,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
23,99,92,21.81,76,5,42.3,24.46,Potato
17,89,82,24.19,57,7.03,41.8,22.94,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
14,78,71,22.56,51,7.16,56.9,27.42,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
15,81,73,22.81,47,7.13,37.8,26.57,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
10,71,63,24.5,48,6.55,38.7,23.26,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
6,44,36,24.37,92,5.67,36.6,26.78,Binadhan7_BRRI56_BRRI57_BRRI33_BRRI39
41,142,135,25.19,84,7.29,37.2,24.36,Tomato
53,169,162,24.89,92,6.89,39.2,24,Tomato
55,174,167,24.95,95,7.25,37.8,22.93,Tomato
37,133,126,20.69,98,6.84,58.9,24.36,Tomato
36,131,124,22.12,100,6.73,42.2,24.06,Tomato
37,78,79,21.94,100,5,37.7,24.52,Potato
30,75,81,21.56,104,5.4,36.8,25.2,Potato
37,55,82,22.69,99,4.88,40.4,26.5,Potato
41,141,134,22.5,99,6.79,38.7,21.68,Tomato
47,154,148,20.31,77,6.55,35.5,21.95,Tomato
35,128,121,21.12,100,6.64,41.5,25.98,Tomato
